K,Distance,Voting scheme,Weight scheme,Accuracy,Precision,Recall,F1,Solving Time
1,minkowski1,Majority_class,Mutual_classifier,0.9574468085106383,0.9582766439909296,0.9574468085106383,0.9574275362318841,1.6343154907226562
3,minkowski1,Majority_class,Mutual_classifier,0.9680851063829787,0.968934240362812,0.9680851063829787,0.9680706521739131,1.6135404109954834
5,minkowski1,Majority_class,Mutual_classifier,0.9680851063829787,0.9682971014492754,0.9680851063829787,0.9680814940577249,1.6402451992034912
7,minkowski1,Majority_class,Mutual_classifier,0.9787234042553191,0.9795918367346939,0.9787234042553191,0.978713768115942,1.6402559280395508
1,minkowski1,Majority_class,Relief,0.7074468085106383,0.7074702886247878,0.7074468085106383,0.7074385309679427,6.380658864974976
3,minkowski1,Majority_class,Relief,0.7606382978723404,0.7657205492096457,0.7606382978723404,0.7594882729211088,6.33589243888855
5,minkowski1,Majority_class,Relief,0.75,0.750709340596981,0.75,0.7498230414224639,6.368443727493286
7,minkowski1,Majority_class,Relief,0.7180851063829787,0.7193012404688743,0.7180851063829787,0.7176937243235586,6.3020689487457275
1,minkowski1,Majority_class,ANOVA,0.7074468085106383,0.7074702886247878,0.7074468085106383,0.7074385309679427,1.6556284427642822
3,minkowski1,Majority_class,ANOVA,0.7606382978723404,0.7657205492096457,0.7606382978723404,0.7594882729211088,1.6208295822143555
5,minkowski1,Majority_class,ANOVA,0.75,0.750709340596981,0.75,0.7498230414224639,1.6052627563476562
7,minkowski1,Majority_class,ANOVA,0.7180851063829787,0.7193012404688743,0.7180851063829787,0.7176937243235586,1.6223666667938232
1,minkowski1,Inverse_Distance_Weights,Mutual_classifier,0.9627659574468085,0.9632377931347003,0.9627659574468085,0.9627564737512382,1.6496741771697998
3,minkowski1,Inverse_Distance_Weights,Mutual_classifier,0.9787234042553191,0.9795918367346939,0.9787234042553191,0.978713768115942,1.667046308517456
5,minkowski1,Inverse_Distance_Weights,Mutual_classifier,0.9680851063829787,0.9680851063829787,0.9680851063829787,0.9680851063829787,1.6488301753997803
7,minkowski1,Inverse_Distance_Weights,Mutual_classifier,0.9574468085106383,0.9576539855072463,0.9574468085106383,0.9574419920769666,1.6278700828552246
1,minkowski1,Inverse_Distance_Weights,Relief,0.7074468085106383,0.7074702886247878,0.7074468085106383,0.7074385309679427,6.501521110534668
3,minkowski1,Inverse_Distance_Weights,Relief,0.7340425531914894,0.8165952235150031,0.7340425531914894,0.715496368038741,6.822964906692505
5,minkowski1,Inverse_Distance_Weights,Relief,0.6595744680851063,0.7974683544303798,0.6595744680851063,0.6149513568868408,6.366520881652832
7,minkowski1,Inverse_Distance_Weights,Relief,0.6595744680851063,0.7974683544303798,0.6595744680851063,0.6149513568868408,6.329615831375122
1,minkowski1,Inverse_Distance_Weights,ANOVA,0.7074468085106383,0.7074702886247878,0.7074468085106383,0.7074385309679427,1.6222305297851562
3,minkowski1,Inverse_Distance_Weights,ANOVA,0.7340425531914894,0.8165952235150031,0.7340425531914894,0.715496368038741,1.6108555793762207
5,minkowski1,Inverse_Distance_Weights,ANOVA,0.6595744680851063,0.7974683544303798,0.6595744680851063,0.6149513568868408,1.6062300205230713
7,minkowski1,Inverse_Distance_Weights,ANOVA,0.6595744680851063,0.7974683544303798,0.6595744680851063,0.6149513568868408,1.6146340370178223
1,minkowski1,Sheppards_Work,Mutual_classifier,0.9627659574468085,0.9632377931347003,0.9627659574468085,0.9627564737512382,1.6135590076446533
