K,Distance,Voting scheme,Weight scheme,Accuracy,Precision,Recall,F1,Solving Time
1,minkowski1,Majority_class,Mutual_classifier,0.9576719576719577,0.9595114273332095,0.9576719576719577,0.957622120887427,1.7541277408599854
3,minkowski1,Majority_class,Mutual_classifier,0.9576719576719577,0.9584843140398696,0.9576719576719577,0.9576482418257407,1.6495716571807861
5,minkowski1,Majority_class,Mutual_classifier,0.9682539682539683,0.97013987112997,0.9682539682539683,0.9682165906655702,1.629751443862915
7,minkowski1,Majority_class,Mutual_classifier,0.9735449735449735,0.9740184229980148,0.9735449735449735,0.9735360823443725,1.6954245567321777
1,minkowski1,Majority_class,Relief,0.708994708994709,0.7100339497229289,0.708994708994709,0.708537679623301,6.413471698760986
3,minkowski1,Majority_class,Relief,0.7195767195767195,0.7196170094266399,0.7195767195767195,0.7195767195767195,6.318833112716675
5,minkowski1,Majority_class,Relief,0.7566137566137566,0.7567015052447593,0.7566137566137566,0.7565728651078112,6.307283163070679
7,minkowski1,Majority_class,Relief,0.7724867724867724,0.7727234972132931,0.7724867724867724,0.7724103081616036,6.3190693855285645
1,minkowski1,Majority_class,ANOVA,0.708994708994709,0.7100339497229289,0.708994708994709,0.708537679623301,1.6182847023010254
3,minkowski1,Majority_class,ANOVA,0.7195767195767195,0.7196170094266399,0.7195767195767195,0.7195767195767195,1.6833889484405518
5,minkowski1,Majority_class,ANOVA,0.7566137566137566,0.7567015052447593,0.7566137566137566,0.7565728651078112,1.6352527141571045
7,minkowski1,Majority_class,ANOVA,0.7724867724867724,0.7727234972132931,0.7724867724867724,0.7724103081616036,1.626664638519287
1,minkowski1,Inverse_Distance_Weights,Mutual_classifier,0.9523809523809523,0.954860104961525,0.9523809523809523,0.9523061657565401,1.641869306564331
3,minkowski1,Inverse_Distance_Weights,Mutual_classifier,0.9629629629629629,0.964253017062006,0.9629629629629629,0.9629318263198045,1.6593999862670898
5,minkowski1,Inverse_Distance_Weights,Mutual_classifier,0.9682539682539683,0.9690877024210359,0.9682539682539683,0.9682361813693056,1.6391713619232178
7,minkowski1,Inverse_Distance_Weights,Mutual_classifier,0.9629629629629629,0.964253017062006,0.9629629629629629,0.9629318263198045,1.7112400531768799
1,minkowski1,Inverse_Distance_Weights,Relief,0.708994708994709,0.7100339497229289,0.708994708994709,0.708537679623301,6.393649578094482
3,minkowski1,Inverse_Distance_Weights,Relief,0.7566137566137566,0.8129841413423502,0.7566137566137566,0.7455119279680683,6.329983949661255
5,minkowski1,Inverse_Distance_Weights,Relief,0.7566137566137566,0.8129841413423502,0.7566137566137566,0.7455119279680683,6.527851581573486
7,minkowski1,Inverse_Distance_Weights,Relief,0.7619047619047619,0.8305994492125879,0.7619047619047619,0.7492416880171983,6.4906721115112305
1,minkowski1,Inverse_Distance_Weights,ANOVA,0.708994708994709,0.7100339497229289,0.708994708994709,0.708537679623301,1.639265537261963
3,minkowski1,Inverse_Distance_Weights,ANOVA,0.7566137566137566,0.8129841413423502,0.7566137566137566,0.7455119279680683,1.6179397106170654
5,minkowski1,Inverse_Distance_Weights,ANOVA,0.7566137566137566,0.8129841413423502,0.7566137566137566,0.7455119279680683,1.6144030094146729
7,minkowski1,Inverse_Distance_Weights,ANOVA,0.7619047619047619,0.8305994492125879,0.7619047619047619,0.7492416880171983,1.6290481090545654
