K,Distance,Voting scheme,Weight scheme,Solving Time,Accuracy,Precision_Class_0,Recall_Class_0,F1_Class_0,Precision_Class_1,Recall_Class_1,F1_Class_1
1,minkowski1,Majority_class,Mutual_classifier,1.793872356414795,0.9627659574468085,0.978021978021978,0.9468085106382979,0.9621621621621622,0.9484536082474226,0.9787234042553191,0.9633507853403142
3,minkowski1,Majority_class,Mutual_classifier,1.9593315124511719,0.9627659574468085,0.9887640449438202,0.9361702127659575,0.9617486338797814,0.9393939393939394,0.9893617021276596,0.9637305699481865
5,minkowski1,Majority_class,Mutual_classifier,1.8143446445465088,0.9521276595744681,0.967032967032967,0.9361702127659575,0.9513513513513514,0.9381443298969072,0.9680851063829787,0.9528795811518325
7,minkowski1,Majority_class,Mutual_classifier,1.8252084255218506,0.9840425531914894,1.0,0.9680851063829787,0.9837837837837838,0.9690721649484536,1.0,0.9842931937172775
1,minkowski1,Majority_class,Relief,6.322086572647095,0.7074468085106383,0.7096774193548387,0.7021276595744681,0.7058823529411765,0.7052631578947368,0.7127659574468085,0.708994708994709
3,minkowski1,Majority_class,Relief,6.248281002044678,0.7606382978723404,0.7289719626168224,0.8297872340425532,0.7761194029850746,0.8024691358024691,0.6914893617021277,0.7428571428571429
5,minkowski1,Majority_class,Relief,6.39231014251709,0.75,0.7373737373737373,0.776595744680851,0.7564766839378239,0.7640449438202247,0.723404255319149,0.7431693989071039
7,minkowski1,Majority_class,Relief,6.304777145385742,0.7180851063829787,0.7029702970297029,0.7553191489361702,0.7282051282051282,0.735632183908046,0.6808510638297872,0.7071823204419889
1,minkowski1,Majority_class,ANOVA,1.746964693069458,0.7074468085106383,0.7096774193548387,0.7021276595744681,0.7058823529411765,0.7052631578947368,0.7127659574468085,0.708994708994709
3,minkowski1,Majority_class,ANOVA,1.7373137474060059,0.7606382978723404,0.7289719626168224,0.8297872340425532,0.7761194029850746,0.8024691358024691,0.6914893617021277,0.7428571428571429
5,minkowski1,Majority_class,ANOVA,1.8030424118041992,0.75,0.7373737373737373,0.776595744680851,0.7564766839378239,0.7640449438202247,0.723404255319149,0.7431693989071039
7,minkowski1,Majority_class,ANOVA,1.7940964698791504,0.7180851063829787,0.7029702970297029,0.7553191489361702,0.7282051282051282,0.735632183908046,0.6808510638297872,0.7071823204419889
1,minkowski1,Inverse_Distance_Weights,Mutual_classifier,1.8279805183410645,0.973404255319149,1.0,0.9468085106382979,0.9726775956284153,0.9494949494949495,1.0,0.9740932642487047
3,minkowski1,Inverse_Distance_Weights,Mutual_classifier,1.7942466735839844,0.973404255319149,1.0,0.9468085106382979,0.9726775956284153,0.9494949494949495,1.0,0.9740932642487047
5,minkowski1,Inverse_Distance_Weights,Mutual_classifier,1.791029691696167,0.9627659574468085,0.978021978021978,0.9468085106382979,0.9621621621621622,0.9484536082474226,0.9787234042553191,0.9633507853403142
