K,Distance,Voting scheme,Weight scheme,Accuracy_mean,Accuracy_std,Precision_Class_0_mean,Precision_Class_0_std,Recall_Class_0_mean,Recall_Class_0_std,F1_Class_0_mean,F1_Class_0_std,Precision_Class_1_mean,Precision_Class_1_std,Recall_Class_1_mean,Recall_Class_1_std,F1_Class_1_mean,F1_Class_1_std,Solving Time_mean,Solving Time_std
7,minkowski2,Majority_class,Mutual_classifier,0.9671618170722314,0.012197902805248202,0.9689927443089177,0.02517342902710945,0.9661464165733482,0.022115068682988768,0.9671753677881234,0.012012099469082048,0.9668664210639528,0.020974529724950026,0.9681746920492722,0.02704571705245645,0.9671139383493902,0.012462951346943002,3.2407354593276976,0.34106781253540713
7,HEOM,Inverse_Distance_Weights,Mutual_classifier,0.9655660723913803,0.015466456451666395,0.964722365579674,0.025081817853824375,0.9671325587905935,0.0190440043966071,0.9656813505023759,0.015316806644267236,0.9674191325655261,0.01819038388932553,0.9639305711086227,0.026133175715459606,0.9654263098624594,0.015655700862671023,1.5106072187423707,0.0822268201055475
7,minkowski2,Sheppards_Work,Mutual_classifier,0.962915000266624,0.01887499566108966,0.9613794040999114,0.02451752752734273,0.9650163307204181,0.02295950925023972,0.9629986384860322,0.018855929759216204,0.965252175389997,0.02243774550546973,0.9607950727883539,0.02552358855215239,0.962811545294483,0.01892142475543737,3.372220015525818,0.3876604010439588
7,minkowski1,Majority_class,Mutual_classifier,0.9623914988416666,0.01401451757666388,0.9616361422022998,0.025351734636176584,0.9639744307577456,0.01952190607626397,0.9625040777308135,0.013876052295519503,0.9643558659846434,0.018689522021635693,0.9607838745800672,0.027006483661639463,0.9622480672341623,0.014214877206406159,1.9238797187805177,0.13795668062129127
7,minkowski2,Inverse_Distance_Weights,Mutual_classifier,0.9618623686876766,0.016715596982414278,0.9655719971761041,0.0278911629371412,0.9586888764464353,0.01689768950470772,0.9618757138464563,0.016428466899018612,0.959155679356796,0.016107438041944293,0.96498320268757,0.02879621674167777,0.9618247446977006,0.017031531068958942,3.142901611328125,0.18221220604754548
7,minkowski1,Sheppards_Work,Mutual_classifier,0.9613248843148059,0.015232958263722078,0.9615202444687327,0.02662876194345679,0.9618467711832774,0.017502565226249992,0.9614201146884795,0.01501368406819367,0.962155899852266,0.016734479339403356,0.9607950727883539,0.027916097366513275,0.9612038462561004,0.015501987363407762,1.917524552345276,0.13632237234994274
5,minkowski2,Inverse_Distance_Weights,Mutual_classifier,0.9608013236400694,0.011239718499667168,0.9603068508967361,0.020061716827844574,0.9618691675998507,0.015961790434547894,0.960892201992999,0.011002680957324826,0.9620756114430726,0.014949293522255424,0.9596864501679733,0.02118386108813156,0.960688195953806,0.011518732049901123,3.169943618774414,0.25086105745269593
5,minkowski1,Inverse_Distance_Weights,Mutual_classifier,0.9607957245359261,0.014196868237693089,0.9593889015902402,0.02289359612295694,0.9629329973870847,0.019475184888029694,0.9609216091990589,0.013974520801110883,0.9631348780641564,0.019025464923711353,0.9586450167973124,0.02372253199009856,0.960650687456695,0.014436409201439643,1.8854825258255006,0.13224426861716526
5,HEOM,Inverse_Distance_Weights,Mutual_classifier,0.9607901254317828,0.011814266508928724,0.9604287036004433,0.022922558743205583,0.9618358062709967,0.015257801519958248,0.960901913604259,0.011501291761579645,0.9620696668769062,0.014169995963255346,0.9596864501679733,0.02394683305791772,0.9606538452531094,0.012166409486314629,1.5473277807235717,0.11799094580021921
7,minkowski1,Inverse_Distance_Weights,Mutual_classifier,0.9602749782257062,0.012780685724739173,0.9613387793504767,0.02144213489828061,0.9597634378499441,0.021552269645981025,0.9602721257487333,0.012709287226999181,0.9603155008894427,0.02080002622708208,0.9607502799552072,0.022403523197492684,0.9602537275220537,0.012879681372417373,1.9102815628051757,0.12738910857181857
7,HEOM,Sheppards_Work,Mutual_classifier,0.9602610545275718,0.013752215211598586,0.9595574535223685,0.025279237282358993,0.9618467711832774,0.02138311557420927,0.9603616428348852,0.013649214512101647,0.9623364287989082,0.02045772139021864,0.9586450167973124,0.027210035738483178,0.9601235178916688,0.013932388475270452,1.5612546682357789,0.11486858921871886
7,HEOM,Majority_class,Mutual_classifier,0.9602553961736493,0.013562211322930014,0.9603352773871612,0.022935416866651015,0.9608051045166107,0.018720926320289395,0.9603277151058162,0.01333517641289521,0.9611253281606305,0.018265514369986392,0.9597088465845465,0.02448577006210539,0.9601585168879563,0.013839420799842345,1.653616690635681,0.2503331922188658
3,HEOM,Inverse_Distance_Weights,Mutual_classifier,0.9592084229486245,0.013264709833366448,0.9584527503645777,0.02568467873107699,0.960794372900336,0.01331577498742201,0.9593892377902371,0.01286851982414244,0.9608760470942415,0.012639961761229836,0.9575923852183651,0.02649280616529557,0.9590066377347354,0.013678861958845236,1.5731889724731445,0.1769588538066244
3,minkowski2,Inverse_Distance_Weights,Mutual_classifier,0.9586821664089301,0.014526643506130515,0.9575104942148313,0.026348064787626045,0.9607831746920492,0.018125910641120815,0.9588546542030949,0.014198041216675422,0.9610096576153729,0.017054087191303652,0.9565285554311311,0.02766603673667234,0.9584775836224599,0.014906735512672345,3.1481236696243284,0.12958080248054776
5,minkowski2,Majority_class,Mutual_classifier,0.9586764488052282,0.01496073156067477,0.9590943537780076,0.02181948359149186,0.9587110395670028,0.016819618231215423,0.9587507094461399,0.01474953337851641,0.9588419012147161,0.016392722702664928,0.958633818589026,0.02265553722859066,0.9585874600032538,0.015189849180056366,3.2952412128448487,0.6500990298470332
